Rep_num,Time,Stop_Reason,Generation,Population,Init_Method,Selection_Method,Tournament_Size,Crossover_Rate,Crossover_Type,Mutation_Rate,Mutation_Type,elitism,Max_Gen,Patience,Partition1_Sum,Partition2_Sum,Partition_Difference,Size
1,6.8896,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,30,0,30,1
1,6.6177,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,30,58,28,2
1,6.9749,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,88,58,30,3
1,7.3029,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,106,88,18,4
1,7.4931,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,136,132,4,5
1,7.9130,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,208,208,0,8
1,10.9328,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,407,407,0,14
1,10.8576,Patience,28,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,432,432,0,15
1,10.1096,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,489,489,0,17
1,12.5577,Patience,31,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,497,497,0,18
1,12.1914,Patience,29,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,549,549,0,20
1,11.0470,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,554,554,0,21
1,11.5670,Patience,25,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,630,630,0,24
1,12.5645,Patience,27,150,Random,Tournament,5,0.9,Uniform,0.1,Bit-Flip,0.1,120,25,672,672,0,26
