problem,time,count,sum
ExhaustiveRec_WorstCase,22731275.600002848,20,813
TopDownDP_WorstCase,250.8000034140423,20,381
ExhaustiveRec_MediumCase_1,6.400005077011883,1,83
TopDownDP_MediumCase_1,98.79999561235309,1,83
ExhaustiveRec_MediumCase_2,5.300011252984405,2,83
TopDownDP_MediumCase_2,72.0999960321933,2,83
ExhaustiveRec_MediumCase_3,5.299996701069176,3,83
TopDownDP_MediumCase_3,87.00000762473792,3,83
ExhaustiveRec_MediumCase_4,7.199996616691351,4,99
TopDownDP_MediumCase_4,82.70000398624688,4,99
ExhaustiveRec_MediumCase_5,8.099988917820156,5,99
TopDownDP_MediumCase_5,91.80000051856041,5,99
ExhaustiveRec_MediumCase_6,10.9999964479357,6,99
TopDownDP_MediumCase_6,84.10000009462237,6,99
ExhaustiveRec_MediumCase_7,15.600002370774746,7,99
TopDownDP_MediumCase_7,116.70000094454736,7,99
ExhaustiveRec_MediumCase_8,22.00000744778663,8,151
TopDownDP_MediumCase_8,119.29999163839966,8,151
ExhaustiveRec_MediumCase_9,27.50000567175448,9,151
TopDownDP_MediumCase_9,207.19999156426638,9,151
ExhaustiveRec_MediumCase_10,19.29998688865453,10,151
TopDownDP_MediumCase_10,133.4000116912648,10,151
ExhaustiveRec_MediumCase_11,22.69999822601676,11,151
TopDownDP_MediumCase_11,121.70000991318375,11,151
ExhaustiveRec_MediumCase_12,63.100000261329114,12,195
TopDownDP_MediumCase_12,105.80000525806099,12,195
ExhaustiveRec_MediumCase_13,38.700003642588854,13,195
TopDownDP_MediumCase_13,157.30000450275838,13,195
ExhaustiveRec_MediumCase_14,54.69999450724572,14,195
TopDownDP_MediumCase_14,201.8999948631972,14,195
ExhaustiveRec_MediumCase_15,107.69999062176794,15,261
TopDownDP_MediumCase_15,229.50000129640102,15,261
ExhaustiveRec_MediumCase_16,210.40000137872994,16,342
TopDownDP_MediumCase_16,208.40000070165843,16,342
ExhaustiveRec_MediumCase_17,249.9999973224476,17,342
TopDownDP_MediumCase_17,337.5999949639663,17,342
ExhaustiveRec_MediumCase_18,429.69999776687473,18,342
TopDownDP_MediumCase_18,688.6000046506524,18,342
ExhaustiveRec_MediumCase_19,712.799999746494,19,393
TopDownDP_MediumCase_19,494.5999971823767,19,393
ExhaustiveRec_MediumCase_20,915.9000037470832,20,393
TopDownDP_MediumCase_20,814.90000593476,20,435
ExhaustiveRec_MediumCase_21,1181.1000003945082,21,393
TopDownDP_MediumCase_21,612.7999949967489,21,435
ExhaustiveRec_MediumCase_22,1311.8000060785562,22,393
TopDownDP_MediumCase_22,845.8999946014956,22,435
ExhaustiveRec_MediumCase_23,1091.9000051217154,23,393
TopDownDP_MediumCase_23,969.8000067146495,23,437
ExhaustiveRec_MediumCase_24,1495.3999925637618,24,393
TopDownDP_MediumCase_24,1017.7999938605353,24,377
ExhaustiveRec_MediumCase_25,2515.200001653284,25,393
TopDownDP_MediumCase_25,1318.1999966036528,25,377
ExhaustiveRec_MediumCase_26,2562.099994975142,26,393
TopDownDP_MediumCase_26,1345.8999892463908,26,377
ExhaustiveRec_MediumCase_27,3050.1999863190576,27,393
TopDownDP_MediumCase_27,1226.3999960850924,27,377
ExhaustiveRec_MediumCase_28,5810.600006952882,28,452
TopDownDP_MediumCase_28,3614.8000071989372,28,452
ExhaustiveRec_MediumCase_29,5604.799996945076,29,452
TopDownDP_MediumCase_29,1226.4999968465418,29,528
ExhaustiveRec_MediumCase_30,7805.200002621859,30,452
TopDownDP_MediumCase_30,1667.5000078976154,30,528
ExhaustiveRec_MediumCase_31,8583.200004068203,31,452
TopDownDP_MediumCase_31,1801.4999950537458,31,528
ExhaustiveRec_MediumCase_32,11513.799996464513,32,452
TopDownDP_MediumCase_32,2404.4000019785017,32,528
ExhaustiveRec_MediumCase_33,10832.899992237799,33,452
TopDownDP_MediumCase_33,2156.3000045716763,33,528
ExhaustiveRec_MediumCase_34,14507.10000062827,34,452
TopDownDP_MediumCase_34,1953.3000013325363,34,528
ExhaustiveRec_MediumCase_35,18299.400006071664,35,499
TopDownDP_MediumCase_35,1970.8000036189333,35,535
ExhaustiveRec_MediumCase_36,23078.600002918392,36,513
TopDownDP_MediumCase_36,1288.400002522394,36,543
ExhaustiveRec_MediumCase_37,30542.299995431677,37,524
TopDownDP_MediumCase_37,1322.899988736026,37,523
ExhaustiveRec_MediumCase_38,39445.0999883702,38,524
TopDownDP_MediumCase_38,1177.300000563264,38,521
ExhaustiveRec_MediumCase_39,47160.30000417959,39,524
TopDownDP_MediumCase_39,1387.7000019419938,39,521
ExhaustiveRec_MediumCase_40,65329.100005328655,40,524
TopDownDP_MediumCase_40,1961.8999940576032,40,523
ExhaustiveRec_MediumCase_41,117386.40000112355,41,558
TopDownDP_MediumCase_41,2286.2999903736636,41,540
ExhaustiveRec_MediumCase_42,167927.60000680573,42,558
TopDownDP_MediumCase_42,1222.1000069985166,42,635
ExhaustiveRec_MediumCase_43,243350.00000428408,43,558
TopDownDP_MediumCase_43,1475.799988838844,43,635
ExhaustiveRec_MediumCase_44,291101.49999905843,44,558
TopDownDP_MediumCase_44,2559.1000012354925,44,635
ExhaustiveRec_MediumCase_45,348066.69999670703,45,558
TopDownDP_MediumCase_45,2398.600001470186,45,597
ExhaustiveRec_MediumCase_46,419518.8000012422,46,558
TopDownDP_MediumCase_46,2531.29999327939,46,597
ExhaustiveRec_MediumCase_47,568297.8999975603,47,579
TopDownDP_MediumCase_47,2611.6999943042174,47,618
ExhaustiveRec_MediumCase_48,792359.9000059767,48,579
TopDownDP_MediumCase_48,1480.399994761683,48,459
ExhaustiveRec_MediumCase_49,1218198.1000030646,49,579
TopDownDP_MediumCase_49,1082.9000093508512,49,430
ExhaustiveRec_MediumCase_50,1540476.6999999993,50,579
TopDownDP_MediumCase_50,1464.399989345111,50,430
